source_text_id,mention,selected_name,lat,lon,method,text_id,application_context
W4408321151,Uttarakhand,"State of Uttarākhand, India, Asia",30.25,79.25,unitoprank_geonames,W4408321151,Flood Risk Assessment and Management
W4408321151,India,"Indian Subcontinent, India, Asia",22.20775,76.97021,unitoprank_geonames,W4408321151,Flood Risk Assessment and Management
W4408321151,Uttarakhand,"State of Uttarākhand, India, Asia",30.25,79.25,unitoprank_geonames,W4408321151,Flood Risk Assessment and Management
W4409321239,Subarnarekha River,"Subarnarekha River, India, Asia",21.56742,87.3595,unitoprank_geonames,W4409321239,Flood Risk Assessment and Management
W4408764949,ROC,"Taiwan, Asia",24.0,121.0,unitoprank_geonames,W4408764949,Landslides and related hazards
W4407830396,Odisha,"State of Odisha, India, Asia",20.5,84.41667,unitoprank_geonames,W4407830396,Tropical and Extratropical Cyclones Research
W4407830396,West Bengal,"West Bengal, India, Asia",24.0,88.0,unitoprank_geonames,W4407830396,Tropical and Extratropical Cyclones Research
W4407830396,West Bengal,"West Bengal, India, Asia",24.0,88.0,unitoprank_geonames,W4407830396,Tropical and Extratropical Cyclones Research
W4407830396,Hoogly,"The Hoogly, Queensland, Australia, Oceania",-22.35,149.71667,unitoprank_geonames,W4407830396,Tropical and Extratropical Cyclones Research
W4407830396,Parganas,"North 24 Parganas, West Bengal, India, Asia",22.71,88.7108,unitoprank_geonames,W4407830396,Tropical and Extratropical Cyclones Research
W4407830396,Odisha,"State of Odisha, India, Asia",20.5,84.41667,unitoprank_geonames,W4407830396,Tropical and Extratropical Cyclones Research
W4407830396,Kendrapara,"Kendrapara, Odisha, India, Asia",20.5,86.5,unitoprank_geonames,W4407830396,Tropical and Extratropical Cyclones Research
W4407830396,Balasore,"Bāleshwar, Odisha, India, Asia",21.5,86.75,unitoprank_geonames,W4407830396,Tropical and Extratropical Cyclones Research
W4407830396,Jajpur,"Jajpur, Odisha, India, Asia",20.84149,86.31237,unitoprank_geonames,W4407830396,Tropical and Extratropical Cyclones Research
W4407830396,Khordha,"Khordha, Odisha, India, Asia",20.2,85.6,unitoprank_geonames,W4407830396,Tropical and Extratropical Cyclones Research
W4408576605,China,"People’s Republic of China, Asia",35.0,105.0,unitoprank_geonames,W4408576605,Water Resources and Sustainability
W4408576605,China,"People’s Republic of China, Asia",35.0,105.0,unitoprank_geonames,W4408576605,Water Resources and Sustainability
W4408257106,the Otter Valley,Sea Otter Valley,51.33333,-129.0,unitoprank_geonames,W4408257106,Soil erosion and sediment transport
