mention,start,end,label,tool,source_text_id,sentence,full_text,application_context
Uttarakhand,89,100,GPE,spacy,W4408321151,"This study presents a comprehensive approach to flood risk assessment and mapping in the Uttarakhand region, India, by integrating geographic information system (GIS) and multi‐criteria decision‐making (MCDM).","This study presents a comprehensive approach to flood risk assessment and mapping in the Uttarakhand region, India, by integrating geographic information system (GIS) and multi‐criteria decision‐making (MCDM). The methodology involves using digital elevation models (DEMs) to categorise elevation into five classes, slope analysis to evaluate the role of terrain steepness and drainage density assessment to identify areas less susceptible to flooding. Average annual rainfall data, classified from meteorological stations, land use/land cover patterns and distances from rivers and roads, were analysed within a GIS framework to assess flood susceptibility. The analytic hierarchy process (AHP) was employed to assign weights to these criteria and generate a flood risk index (FRI) map. Key findings indicate that extensive moderate‐to‐high‐risk zones are present, particularly in the lower regions of Uttarakhand. The weighted overlay analysis using GIS and AHP effectively identified areas at greater risk of flooding. The results offer valuable insights for flood risk management, land‐use planning and disaster preparedness, highlighting the need for targeted interventions to enhance flood resilience in the region.",Flood Risk Assessment and Management
India,109,114,GPE,spacy,W4408321151,"This study presents a comprehensive approach to flood risk assessment and mapping in the Uttarakhand region, India, by integrating geographic information system (GIS) and multi‐criteria decision‐making (MCDM).","This study presents a comprehensive approach to flood risk assessment and mapping in the Uttarakhand region, India, by integrating geographic information system (GIS) and multi‐criteria decision‐making (MCDM). The methodology involves using digital elevation models (DEMs) to categorise elevation into five classes, slope analysis to evaluate the role of terrain steepness and drainage density assessment to identify areas less susceptible to flooding. Average annual rainfall data, classified from meteorological stations, land use/land cover patterns and distances from rivers and roads, were analysed within a GIS framework to assess flood susceptibility. The analytic hierarchy process (AHP) was employed to assign weights to these criteria and generate a flood risk index (FRI) map. Key findings indicate that extensive moderate‐to‐high‐risk zones are present, particularly in the lower regions of Uttarakhand. The weighted overlay analysis using GIS and AHP effectively identified areas at greater risk of flooding. The results offer valuable insights for flood risk management, land‐use planning and disaster preparedness, highlighting the need for targeted interventions to enhance flood resilience in the region.",Flood Risk Assessment and Management
Uttarakhand,903,914,GPE,spacy,W4408321151,"Key findings indicate that extensive moderate‐to‐high‐risk zones are present, particularly in the lower regions of Uttarakhand.","This study presents a comprehensive approach to flood risk assessment and mapping in the Uttarakhand region, India, by integrating geographic information system (GIS) and multi‐criteria decision‐making (MCDM). The methodology involves using digital elevation models (DEMs) to categorise elevation into five classes, slope analysis to evaluate the role of terrain steepness and drainage density assessment to identify areas less susceptible to flooding. Average annual rainfall data, classified from meteorological stations, land use/land cover patterns and distances from rivers and roads, were analysed within a GIS framework to assess flood susceptibility. The analytic hierarchy process (AHP) was employed to assign weights to these criteria and generate a flood risk index (FRI) map. Key findings indicate that extensive moderate‐to‐high‐risk zones are present, particularly in the lower regions of Uttarakhand. The weighted overlay analysis using GIS and AHP effectively identified areas at greater risk of flooding. The results offer valuable insights for flood risk management, land‐use planning and disaster preparedness, highlighting the need for targeted interventions to enhance flood resilience in the region.",Flood Risk Assessment and Management
East India's,149,161,LOC,spacy,W4409321239,"During the monsoon season, East India's Subarnarekha River frequently floods to a significant degree.","Determining and characterising locations vulnerable to flooding can help in reducing damage and the number of fatalities. During the monsoon season, East India's Subarnarekha River frequently floods to a significant degree. In current work, we suggest a unique hybrid strategy for preparing the entire catchment's Flood Susceptibility Mapping (FSM). The study area's FSM was conducted by considering 10 flood conditioning factors utilising the Best‐Worst Method (BWM) and a multi‐parametric Analytical Hierarchy Process (AHP) as per expert knowledge. Meanwhile, the proposed strategy incorporates a Decision Making Trial and Evaluation Laboratory (DEMATEL) for examining causal linkages and dependencies between different elements affecting the flooding process. Several statistical matrices were used to compare the suggested strategy of BWM and AHP. Based on our findings, we concluded that the integration of DEMATEL with AHP and BWM (ID BWM, ID AHP) was more effective than alternative strategies. The findings show that out of 10 flood conditioning factors, slope, elevation, distance from the river, drainage density, Topographic wetness Index (TWI), Land Use Land Cover (LULC), Normalised Difference Vegetation Index (NDVI), precipitation, soil texture, and curvature, factors that have the biggest effects on the local flooding phenomenon are elevation, slope, precipitation, and distance from the river. For validating the efficacy of the flood susceptibility map, Area under the Receiver Operating Characteristic Curve (AUC‐ROC) was adopted and demonstrated, showing a pretty high accuracy of (0.92 or 92% and 0.94 or 94%) for ID AHP and ID BWM, respectively. Our research findings provide a highly affordable and useful answer to the flooding problems of basin Subarnarekha.",Flood Risk Assessment and Management
Subarnarekha River,162,180,LOC,spacy,W4409321239,"During the monsoon season, East India's Subarnarekha River frequently floods to a significant degree.","Determining and characterising locations vulnerable to flooding can help in reducing damage and the number of fatalities. During the monsoon season, East India's Subarnarekha River frequently floods to a significant degree. In current work, we suggest a unique hybrid strategy for preparing the entire catchment's Flood Susceptibility Mapping (FSM). The study area's FSM was conducted by considering 10 flood conditioning factors utilising the Best‐Worst Method (BWM) and a multi‐parametric Analytical Hierarchy Process (AHP) as per expert knowledge. Meanwhile, the proposed strategy incorporates a Decision Making Trial and Evaluation Laboratory (DEMATEL) for examining causal linkages and dependencies between different elements affecting the flooding process. Several statistical matrices were used to compare the suggested strategy of BWM and AHP. Based on our findings, we concluded that the integration of DEMATEL with AHP and BWM (ID BWM, ID AHP) was more effective than alternative strategies. The findings show that out of 10 flood conditioning factors, slope, elevation, distance from the river, drainage density, Topographic wetness Index (TWI), Land Use Land Cover (LULC), Normalised Difference Vegetation Index (NDVI), precipitation, soil texture, and curvature, factors that have the biggest effects on the local flooding phenomenon are elevation, slope, precipitation, and distance from the river. For validating the efficacy of the flood susceptibility map, Area under the Receiver Operating Characteristic Curve (AUC‐ROC) was adopted and demonstrated, showing a pretty high accuracy of (0.92 or 92% and 0.94 or 94%) for ID AHP and ID BWM, respectively. Our research findings provide a highly affordable and useful answer to the flooding problems of basin Subarnarekha.",Flood Risk Assessment and Management
ROC,1451,1454,GPE,spacy,W4408764949,The ROC–AUC curve approach was used to assess the models' accuracy.,"Landslides present a significant danger to both infrastructure and human lives in the challenging terrain of the Himalayas. Therefore, it is crucial to accurately map areas prone to landslides to facilitate informed decision‐making and proactive planning, allowing for effective management of this hazard. Since the landslide occurrences are accentuated by floods through toe erosion, and wildfires through this research aims to integrate machine learning techniques with the analysis of multiple hazards, such as floods and forest fires, as novel conditioning factors to create a comprehensive map of landslide susceptibility. Geospatial analysis was conducted to examine the relationship between 19 conditioning elements, including factors related to flood and forest fire susceptibility, which contribute to the occurrence of landslides. This study tested the efficacy of three machine learning models for mapping landslide‐prone areas: eXtreme Gradient Boost (XGBoost), Random Forest (RF) and Artificial Neural Network (ANN). These models can identify complex correlations and patterns among conditioning elements, resulting in more accurate mapping of regions prone to landslides. A regression analysis was performed to evaluate multicollinearity and confirm the association between the dependent and independent variables. The analysis revealed a variance inflation factor within acceptable bounds, providing validation for the correlation. The ROC–AUC curve approach was used to assess the models' accuracy. Among the models tested, XGB exhibited the highest accuracy at 94%, followed by RF at 92% and ANN at 77%. The results of this study offer insightful information about how to combine data from various hazard occurrences to forecast landslide susceptibility. This work can be instrumental for local authorities and disaster management organisations in prioritising resources, implementing mitigation plans and enhancing resilience against landslide threats.",Landslides and related hazards
Odisha,335,341,GPE,spacy,W4407830396,"In this context, the present study aims to assess the impact of tropical cyclone Yaas on the coastal districts of Odisha and West Bengal combining SAR and optical satellite data.","Coastal areas are increasingly susceptible to frequent cyclones driven by climate change. This leads to severe flooding, habitat loss, economic damage and community displacement, necessitating urgent adaptation measures. In this context, the present study aims to assess the impact of tropical cyclone Yaas on the coastal districts of Odisha and West Bengal combining SAR and optical satellite data. The Sentinel‐1 data was used for flood inundation analysis, allowing for the identification and mapping of areas affected by the cyclonic flooding. In addition, Sentinel‐2 data was employed for land use and land cover (LULC) analysis, enabling the evaluation of the cyclone's impact on various land cover classes. A fuzzy Analytic Hierarchy Process (AHP) was applied to analyse the changes in forest canopy cover. By integrating these diverse datasets and analyses, the study provides a holistic understanding of the cyclone's impact on the coastal region's environment and land cover. The findings reveal that the Yaas cyclonic flood affected an area of 2528.70 sq. km, accounting for 6.8% of the total region. In the coastal areas of West Bengal, more than 24% of cropland was affected particularly in the districts of Purba Medinipur, North 24 Parganas, Hoogly, Howrah and South 24 Parganas. In Odisha state, the most affected cropland areas were Bhadrak (945.11 sq. km) and Kendrapara (557.90 sq. km), while the districts of Bhadrak, Balasore, Jajpur, Khordha and Cuttack experienced the greatest impact on built‐up areas. The findings of this comprehensive study contribute to a deeper understanding of the magnitude and extent of tropical cyclone Yaas's impacts. This study can be useful for the development of effective mitigation and adaptation strategies that is, restoration of mangrove forests, introduction of salt‐tolerant crops and upgrading of existing embankments and levees to enhance the resilience of the coastal communities.",Tropical and Extratropical Cyclones Research
West Bengal,346,357,GPE,spacy,W4407830396,"In this context, the present study aims to assess the impact of tropical cyclone Yaas on the coastal districts of Odisha and West Bengal combining SAR and optical satellite data.","Coastal areas are increasingly susceptible to frequent cyclones driven by climate change. This leads to severe flooding, habitat loss, economic damage and community displacement, necessitating urgent adaptation measures. In this context, the present study aims to assess the impact of tropical cyclone Yaas on the coastal districts of Odisha and West Bengal combining SAR and optical satellite data. The Sentinel‐1 data was used for flood inundation analysis, allowing for the identification and mapping of areas affected by the cyclonic flooding. In addition, Sentinel‐2 data was employed for land use and land cover (LULC) analysis, enabling the evaluation of the cyclone's impact on various land cover classes. A fuzzy Analytic Hierarchy Process (AHP) was applied to analyse the changes in forest canopy cover. By integrating these diverse datasets and analyses, the study provides a holistic understanding of the cyclone's impact on the coastal region's environment and land cover. The findings reveal that the Yaas cyclonic flood affected an area of 2528.70 sq. km, accounting for 6.8% of the total region. In the coastal areas of West Bengal, more than 24% of cropland was affected particularly in the districts of Purba Medinipur, North 24 Parganas, Hoogly, Howrah and South 24 Parganas. In Odisha state, the most affected cropland areas were Bhadrak (945.11 sq. km) and Kendrapara (557.90 sq. km), while the districts of Bhadrak, Balasore, Jajpur, Khordha and Cuttack experienced the greatest impact on built‐up areas. The findings of this comprehensive study contribute to a deeper understanding of the magnitude and extent of tropical cyclone Yaas's impacts. This study can be useful for the development of effective mitigation and adaptation strategies that is, restoration of mangrove forests, introduction of salt‐tolerant crops and upgrading of existing embankments and levees to enhance the resilience of the coastal communities.",Tropical and Extratropical Cyclones Research
West Bengal,1136,1147,GPE,spacy,W4407830396,"In the coastal areas of West Bengal, more than 24% of cropland was affected particularly in the districts of Purba Medinipur, North 24 Parganas, Hoogly, Howrah and South 24 Parganas.","Coastal areas are increasingly susceptible to frequent cyclones driven by climate change. This leads to severe flooding, habitat loss, economic damage and community displacement, necessitating urgent adaptation measures. In this context, the present study aims to assess the impact of tropical cyclone Yaas on the coastal districts of Odisha and West Bengal combining SAR and optical satellite data. The Sentinel‐1 data was used for flood inundation analysis, allowing for the identification and mapping of areas affected by the cyclonic flooding. In addition, Sentinel‐2 data was employed for land use and land cover (LULC) analysis, enabling the evaluation of the cyclone's impact on various land cover classes. A fuzzy Analytic Hierarchy Process (AHP) was applied to analyse the changes in forest canopy cover. By integrating these diverse datasets and analyses, the study provides a holistic understanding of the cyclone's impact on the coastal region's environment and land cover. The findings reveal that the Yaas cyclonic flood affected an area of 2528.70 sq. km, accounting for 6.8% of the total region. In the coastal areas of West Bengal, more than 24% of cropland was affected particularly in the districts of Purba Medinipur, North 24 Parganas, Hoogly, Howrah and South 24 Parganas. In Odisha state, the most affected cropland areas were Bhadrak (945.11 sq. km) and Kendrapara (557.90 sq. km), while the districts of Bhadrak, Balasore, Jajpur, Khordha and Cuttack experienced the greatest impact on built‐up areas. The findings of this comprehensive study contribute to a deeper understanding of the magnitude and extent of tropical cyclone Yaas's impacts. This study can be useful for the development of effective mitigation and adaptation strategies that is, restoration of mangrove forests, introduction of salt‐tolerant crops and upgrading of existing embankments and levees to enhance the resilience of the coastal communities.",Tropical and Extratropical Cyclones Research
Hoogly,1257,1263,GPE,spacy,W4407830396,"In the coastal areas of West Bengal, more than 24% of cropland was affected particularly in the districts of Purba Medinipur, North 24 Parganas, Hoogly, Howrah and South 24 Parganas.","Coastal areas are increasingly susceptible to frequent cyclones driven by climate change. This leads to severe flooding, habitat loss, economic damage and community displacement, necessitating urgent adaptation measures. In this context, the present study aims to assess the impact of tropical cyclone Yaas on the coastal districts of Odisha and West Bengal combining SAR and optical satellite data. The Sentinel‐1 data was used for flood inundation analysis, allowing for the identification and mapping of areas affected by the cyclonic flooding. In addition, Sentinel‐2 data was employed for land use and land cover (LULC) analysis, enabling the evaluation of the cyclone's impact on various land cover classes. A fuzzy Analytic Hierarchy Process (AHP) was applied to analyse the changes in forest canopy cover. By integrating these diverse datasets and analyses, the study provides a holistic understanding of the cyclone's impact on the coastal region's environment and land cover. The findings reveal that the Yaas cyclonic flood affected an area of 2528.70 sq. km, accounting for 6.8% of the total region. In the coastal areas of West Bengal, more than 24% of cropland was affected particularly in the districts of Purba Medinipur, North 24 Parganas, Hoogly, Howrah and South 24 Parganas. In Odisha state, the most affected cropland areas were Bhadrak (945.11 sq. km) and Kendrapara (557.90 sq. km), while the districts of Bhadrak, Balasore, Jajpur, Khordha and Cuttack experienced the greatest impact on built‐up areas. The findings of this comprehensive study contribute to a deeper understanding of the magnitude and extent of tropical cyclone Yaas's impacts. This study can be useful for the development of effective mitigation and adaptation strategies that is, restoration of mangrove forests, introduction of salt‐tolerant crops and upgrading of existing embankments and levees to enhance the resilience of the coastal communities.",Tropical and Extratropical Cyclones Research
