source_text_id,mention,selected_name,lat,lon,method,text_id,application_context
W4408321151,Uttarakhand,"Uttarakhand, India",30.25,79.25,llm_rag_geonames,W4408321151,Flood Risk Assessment and Management
W4408321151,India,India,22.20775,76.97021,llm_rag_geonames,W4408321151,Flood Risk Assessment and Management
W4408321151,Uttarakhand,"Uttarakhand, India",30.25,79.25,llm_rag_geonames,W4408321151,Flood Risk Assessment and Management
W4409321239,East India's,East India,55.94645,-4.74784,llm_rag_geonames,W4409321239,Flood Risk Assessment and Management
W4409321239,Subarnarekha River,"Subarnarekha River, India",21.56742,87.3595,llm_rag_geonames,W4409321239,Flood Risk Assessment and Management
W4408764949,ROC,Taiwan,24.0,121.0,llm_rag_geonames,W4408764949,Landslides and related hazards
W4407830396,Odisha,"Odisha, India",20.5,84.41667,llm_rag_geonames,W4407830396,Tropical and Extratropical Cyclones Research
W4407830396,West Bengal,"West Bengal, India",24.0,88.0,llm_rag_geonames,W4407830396,Tropical and Extratropical Cyclones Research
W4407830396,West Bengal,"West Bengal, India",24.0,88.0,llm_rag_geonames,W4407830396,Tropical and Extratropical Cyclones Research
W4407830396,Hoogly,"Hooghly, West Bengal, India",22.82893,88.20099,llm_rag_geonames,W4407830396,Tropical and Extratropical Cyclones Research
W4407830396,Parganas,"Parganas, West Bengal, India",22.71,88.7108,llm_rag_geonames,W4407830396,Tropical and Extratropical Cyclones Research
W4407830396,Odisha,"Odisha, India",20.5,84.41667,llm_rag_geonames,W4407830396,Tropical and Extratropical Cyclones Research
W4407830396,Kendrapara,"Kendrapara, Odisha, India",20.5,86.5,llm_rag_geonames,W4407830396,Tropical and Extratropical Cyclones Research
W4407830396,Balasore,"Balasore, Odisha, India",21.5,86.75,llm_rag_geonames,W4407830396,Tropical and Extratropical Cyclones Research
W4407830396,Jajpur,"Jajpur, Odisha, India",20.84149,86.31237,llm_rag_geonames,W4407830396,Tropical and Extratropical Cyclones Research
W4407830396,Khordha,"Khordha, Odisha, India",20.2,85.6,llm_rag_geonames,W4407830396,Tropical and Extratropical Cyclones Research
W4408576605,China,China,35.0,105.0,llm_rag_geonames,W4408576605,Water Resources and Sustainability
W4408576605,China,China,35.0,105.0,llm_rag_geonames,W4408576605,Water Resources and Sustainability
W4408257106,the Otter Valley,"Otter Valley, Devon, England, United Kingdom",50.75339,-3.27617,llm_rag_geonames,W4408257106,Soil erosion and sediment transport
W4408257106,East Devon,"East Devon, England, United Kingdom",50.75632,-3.23487,llm_rag_geonames,W4408257106,Soil erosion and sediment transport
W4408257106,UK,United Kingdom,54.75844,-2.69531,llm_rag_geonames,W4408257106,Soil erosion and sediment transport
W4408641270,Pakistan,Pakistan,30.0,70.0,llm_rag_geonames,W4408641270,Geological and Geophysical Studies
W4408641270,Tethys Sea,Tethys Sea,48.815291,7.8095748,llm_rag_geonames,W4408641270,Geological and Geophysical Studies
W4408641270,the Tethys Sea,Tethys Sea,48.815291,7.8095748,llm_rag_geonames,W4408641270,Geological and Geophysical Studies
W4408641270,India,India,22.20775,76.97021,llm_rag_geonames,W4408641270,Geological and Geophysical Studies
W4408641270,Asia,Asia,29.84064,89.29688,llm_rag_geonames,W4408641270,Geological and Geophysical Studies
W4408641270,The Tethys Sea,Tethys Sea,48.815291,7.8095748,llm_rag_geonames,W4408641270,Geological and Geophysical Studies
W4408641270,Tethys Sea,Tethys Sea,48.815291,7.8095748,llm_rag_geonames,W4408641270,Geological and Geophysical Studies
W4408641270,the Tethys Sea,Tethys Sea,48.815291,7.8095748,llm_rag_geonames,W4408641270,Geological and Geophysical Studies
W4408641270,Tethys Sea,Tethys Sea,48.815291,7.8095748,llm_rag_geonames,W4408641270,Geological and Geophysical Studies
W4408560696,North-East,"Nord-Est, France",49.30164,5.7893,llm_rag_geonames,W4408560696,Geotechnical and Geomechanical Engineering
W4408560696,France,France,46.0,2.0,llm_rag_geonames,W4408560696,Geotechnical and Geomechanical Engineering
W4394938978,Pakistan,Pakistan,30.0,70.0,llm_rag_geonames,W4394938978,Flood Risk Assessment and Management
W4394938978,Chad,Chad,15.0,19.0,llm_rag_geonames,W4394938978,Flood Risk Assessment and Management
W4392372732,Wiley Online Library,"Wiley Online Library, Hoboken, New Jersey, United States",40.7446562,-74.0247642,llm_rag_geonames,W4392372732,Flood Risk Assessment and Management
W4394783388,California,"California, United States",37.25022,-119.75126,llm_rag_geonames,W4394783388,Hydraulic flow and structures
W4394783388,the Basin-Wide Feasibility,"California, United States",37.25022,-119.75126,llm_rag_geonames,W4394783388,Hydraulic flow and structures
W4394783388,Sacramento,"Sacramento, Sacramento County, California, United States",38.44932,-121.34424,llm_rag_geonames,W4394783388,Hydraulic flow and structures
W4394783388,the Mississippi River Basin's,"Mississippi River Basin, United States",31.332920308599295,-91.50974030763724,llm_rag_geonames,W4394783388,Hydraulic flow and structures
W4404238193,Sen1Floods11,"Sen1Floods11, Indonesia",-0.989818181999965,113.91586500000005,llm_rag_geonames,W4404238193,Flood Risk Assessment and Management
W4404238193,Citarum River,"Citarum River, West Java, Indonesia",-5.93833,106.99333,llm_rag_geonames,W4404238193,Flood Risk Assessment and Management
W4404238193,Indonesia,Indonesia,-5.0,120.0,llm_rag_geonames,W4404238193,Flood Risk Assessment and Management
W4405589117,England,"England, United Kingdom",52.16045,-0.70312,llm_rag_geonames,W4405589117,Flood Risk Assessment and Management
W4405589117,Netherlands,Netherlands,52.25,5.75,llm_rag_geonames,W4405589117,Flood Risk Assessment and Management
W4402887426,China,China,35.0,105.0,llm_rag_geonames,W4402887426,Aquatic and Environmental Studies
W4400944833,Houston,"Houston, Harris County, Texas, United States",29.73576,-95.3064,llm_rag_geonames,W4400944833,Flood Risk Assessment and Management
W4400944833,F1,"F1, Houston, Harris County, Texas, United States",29.7608026,-95.3695062,llm_rag_geonames,W4400944833,Flood Risk Assessment and Management
W4401428439,El Bayadh City,"El Bayadh, Algeria",32.5,1.16667,llm_rag_geonames,W4401428439,Reservoir Engineering and Simulation Methods
W4401428439,Algeria,Algeria,28.0,3.0,llm_rag_geonames,W4401428439,Reservoir Engineering and Simulation Methods
W4399723744,田んぼダムの実施により,"Tandabu Dam, Kagoshima, Japan",31.596680870000057,130.55738926000004,llm_rag_geonames,W4399723744,Rice Cultivation and Yield Improvement
W4402718755,Jakarta,"Jakarta, Indonesia",-6.2,106.83333,llm_rag_geonames,W4402718755,Flood Risk Assessment and Management
W4402718755,Indonesia,Indonesia,-5.0,120.0,llm_rag_geonames,W4402718755,Flood Risk Assessment and Management
W4402718755,Jakarta,"Jakarta, Indonesia",-6.2,106.83333,llm_rag_geonames,W4402718755,Flood Risk Assessment and Management
W4402718755,Jakarta,"Jakarta, Indonesia",-6.2,106.83333,llm_rag_geonames,W4402718755,Flood Risk Assessment and Management
W4402718755,Jakarta,"Jakarta, Indonesia",-6.2,106.83333,llm_rag_geonames,W4402718755,Flood Risk Assessment and Management
W4402718755,Jakarta,"Jakarta, Indonesia",-6.2,106.83333,llm_rag_geonames,W4402718755,Flood Risk Assessment and Management
W4402718755,Jakarta,"Jakarta, Indonesia",-6.2,106.83333,llm_rag_geonames,W4402718755,Flood Risk Assessment and Management
